20190521231730,10.0.0.2,45208,10.0.0.1,5001,3,0.0-1.0,1310720,10485760
20190521231732,10.0.0.2,45208,10.0.0.1,5001,3,1.0-2.0,1310720,10485760
20190521231733,10.0.0.2,45208,10.0.0.1,5001,3,2.0-3.0,1310720,10485760
20190521231733,10.0.0.2,45208,10.0.0.1,5001,3,3.0-4.0,1179648,9437184
20190521231734,10.0.0.2,45208,10.0.0.1,5001,3,4.0-5.0,1310720,10485760
20190521231736,10.0.0.2,45208,10.0.0.1,5001,3,5.0-6.0,1179648,9437184
20190521231737,10.0.0.2,45208,10.0.0.1,5001,3,6.0-7.0,1179648,9437184
20190521231738,10.0.0.2,45208,10.0.0.1,5001,3,7.0-8.0,1179648,9437184
20190521231739,10.0.0.2,45208,10.0.0.1,5001,3,8.0-9.0,1179648,9437184
20190521231740,10.0.0.2,45208,10.0.0.1,5001,3,9.0-10.0,1179648,9437184
20190521231741,10.0.0.2,45208,10.0.0.1,5001,3,10.0-11.0,1179648,9437184
20190521231742,10.0.0.2,45208,10.0.0.1,5001,3,11.0-12.0,1179648,9437184
20190521231743,10.0.0.2,45208,10.0.0.1,5001,3,12.0-13.0,1179648,9437184
20190521231744,10.0.0.2,45208,10.0.0.1,5001,3,13.0-14.0,1179648,9437184
20190521231745,10.0.0.2,45208,10.0.0.1,5001,3,14.0-15.0,1310720,10485760
20190521231746,10.0.0.2,45208,10.0.0.1,5001,3,15.0-16.0,1179648,9437184
20190521231747,10.0.0.2,45208,10.0.0.1,5001,3,16.0-17.0,1179648,9437184
20190521231747,10.0.0.2,45208,10.0.0.1,5001,3,17.0-18.0,917504,7340032
20190521231748,10.0.0.2,45208,10.0.0.1,5001,3,18.0-19.0,1179648,9437184
20190521231750,10.0.0.2,45208,10.0.0.1,5001,3,19.0-20.0,1310720,10485760
20190521231751,10.0.0.2,45208,10.0.0.1,5001,3,20.0-21.0,1179648,9437184
20190521231752,10.0.0.2,45208,10.0.0.1,5001,3,21.0-22.0,1179648,9437184
20190521231752,10.0.0.2,45208,10.0.0.1,5001,3,22.0-23.0,1179648,9437184
20190521231754,10.0.0.2,45208,10.0.0.1,5001,3,23.0-24.0,1179648,9437184
20190521231755,10.0.0.2,45208,10.0.0.1,5001,3,24.0-25.0,1179648,9437184
20190521231756,10.0.0.2,45208,10.0.0.1,5001,3,25.0-26.0,1310720,10485760
20190521231756,10.0.0.2,45208,10.0.0.1,5001,3,26.0-27.0,917504,7340032
20190521231757,10.0.0.2,45208,10.0.0.1,5001,3,27.0-28.0,1179648,9437184
20190521231758,10.0.0.2,45208,10.0.0.1,5001,3,28.0-29.0,1179648,9437184
20190521231800,10.0.0.2,45208,10.0.0.1,5001,3,29.0-30.0,1310720,10485760
20190521231801,10.0.0.2,45208,10.0.0.1,5001,3,30.0-31.0,1179648,9437184
20190521231802,10.0.0.2,45208,10.0.0.1,5001,3,31.0-32.0,1179648,9437184
20190521231802,10.0.0.2,45208,10.0.0.1,5001,3,32.0-33.0,1179648,9437184
20190521231804,10.0.0.2,45208,10.0.0.1,5001,3,33.0-34.0,1179648,9437184
20190521231805,10.0.0.2,45208,10.0.0.1,5001,3,34.0-35.0,1179648,9437184
20190521231806,10.0.0.2,45208,10.0.0.1,5001,3,35.0-36.0,1310720,10485760
20190521231806,10.0.0.2,45208,10.0.0.1,5001,3,36.0-37.0,917504,7340032
20190521231807,10.0.0.2,45208,10.0.0.1,5001,3,37.0-38.0,1179648,9437184
20190521231808,10.0.0.2,45208,10.0.0.1,5001,3,38.0-39.0,1179648,9437184
20190521231810,10.0.0.2,45208,10.0.0.1,5001,3,39.0-40.0,1310720,10485760
20190521231811,10.0.0.2,45208,10.0.0.1,5001,3,40.0-41.0,1179648,9437184
20190521231812,10.0.0.2,45208,10.0.0.1,5001,3,41.0-42.0,1179648,9437184
20190521231813,10.0.0.2,45208,10.0.0.1,5001,3,42.0-43.0,1179648,9437184
20190521231814,10.0.0.2,45208,10.0.0.1,5001,3,43.0-44.0,1179648,9437184
20190521231815,10.0.0.2,45208,10.0.0.1,5001,3,44.0-45.0,1179648,9437184
20190521231815,10.0.0.2,45208,10.0.0.1,5001,3,45.0-46.0,1048576,8388608
20190521231816,10.0.0.2,45208,10.0.0.1,5001,3,46.0-47.0,1179648,9437184
20190521231817,10.0.0.2,45208,10.0.0.1,5001,3,47.0-48.0,1179648,9437184
20190521231818,10.0.0.2,45208,10.0.0.1,5001,3,48.0-49.0,1179648,9437184
20190521231820,10.0.0.2,45208,10.0.0.1,5001,3,49.0-50.0,1310720,10485760
20190521231821,10.0.0.2,45208,10.0.0.1,5001,3,50.0-51.0,1179648,9437184
20190521231822,10.0.0.2,45208,10.0.0.1,5001,3,51.0-52.0,1179648,9437184
20190521231823,10.0.0.2,45208,10.0.0.1,5001,3,52.0-53.0,1179648,9437184
20190521231824,10.0.0.2,45208,10.0.0.1,5001,3,53.0-54.0,1179648,9437184
20190521231825,10.0.0.2,45208,10.0.0.1,5001,3,54.0-55.0,1048576,8388608
20190521231825,10.0.0.2,45208,10.0.0.1,5001,3,55.0-56.0,1179648,9437184
20190521231826,10.0.0.2,45208,10.0.0.1,5001,3,56.0-57.0,1179648,9437184
20190521231828,10.0.0.2,45208,10.0.0.1,5001,3,57.0-58.0,1310720,10485760
20190521231829,10.0.0.2,45208,10.0.0.1,5001,3,58.0-59.0,1179648,9437184
20190521231830,10.0.0.2,45208,10.0.0.1,5001,3,59.0-60.0,1179648,9437184
20190521231830,10.0.0.2,45208,10.0.0.1,5001,3,0.0-60.2,71434240,9498551
