1558495050,s5,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495050,s1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495050,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495050,eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495050,s2,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495050,s1-eth2,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495050,s1-eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495050,s3,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495050,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495050,s4,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495050,total,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495051,s5,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495051,s1,90.00,340.00,430.00,340,90,1.00,4.00,5.00,4,1,0.00,0.00,0,0
1558495051,eth0,152.00,490.00,642.00,490,152,2.00,4.00,6.00,4,2,0.00,0.00,0,0
1558495051,eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495051,s2,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495051,s1-eth2,33634.00,1250814.00,1284448.00,1250814,33634,437.00,829.00,1266.00,829,437,0.00,0.00,0,0
1558495051,s1-eth1,1249310.00,31762.00,1281072.00,31762,1249310,837.00,429.00,1266.00,429,837,0.00,0.00,0,0
1558495051,s3,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495051,lo,1822.00,1822.00,3644.00,1822,1822,18.00,18.00,36.00,18,18,0.00,0.00,0,0
1558495051,s4,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495051,total,1285008.00,1285228.00,2570236.00,1285228,1285008,1295.00,1284.00,2579.00,1284,1295,0.00,0.00,0,0
1558495052,s5,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495052,s1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495052,eth0,332.00,425.00,757.00,425,332,5.00,5.00,10.00,5,5,0.00,0.00,0,0
1558495052,eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495052,s2,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495052,s1-eth2,32306.00,1241480.00,1273786.00,1241480,32306,428.00,820.00,1248.00,820,428,0.00,0.00,0,0
1558495052,s1-eth1,1241274.00,31376.00,1272650.00,31376,1241274,824.00,424.00,1248.00,424,824,0.00,0.00,0,0
1558495052,s3,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495052,lo,341.00,341.00,682.00,341,341,4.00,4.00,8.00,4,4,0.00,0.00,0,0
1558495052,s4,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495052,total,1274253.00,1273622.00,2547875.00,1273622,1274253,1261.00,1253.00,2514.00,1253,1261,0.00,0.00,0,0
1558495053,s5,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495053,s1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495053,eth0,60.00,60.00,120.00,60,60,1.00,1.00,2.00,1,1,0.00,0.00,0,0
1558495053,eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495053,s2,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495053,s1-eth2,32075.00,1250564.00,1282639.00,1250564,32075,433.00,826.00,1259.00,826,433,0.00,0.00,0,0
1558495053,s1-eth1,1250891.00,32042.00,1282933.00,32042,1250891,827.00,433.00,1260.00,433,827,0.00,0.00,0,0
1558495053,s3,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495053,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495053,s4,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495053,total,1283026.00,1282666.00,2565692.00,1282666,1283026,1261.00,1260.00,2521.00,1260,1261,0.00,0.00,0,0
1558495054,s5,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495054,s1,70.00,70.00,140.00,70,70,1.00,1.00,2.00,1,1,0.00,0.00,0,0
1558495054,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495054,eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495054,s2,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1558495054,s1-eth2,32223.00,1250564.00,1282787.00,1250564,32223,433.00,826.00,1259.00,826,433,0.00,0.00,0,0
